SINAN CANAN — KULLIYAT INDEKSI
1261 bolum | 3,693,867 kelime
Tarih araligi: 2017-11-02 — 2026-08-30
Video linki olan: 1261/1261
Kanallar: @AcikBeyin + @ProfDrSinanCananileAcikBeyin

NO   | TARIH      | KELIME  | LINK                                        | BASLIK
--------------------------------------------------------------------------------------------------------------------------------------------
1    | 2017-11-02 |     437 | https://youtu.be/-kqH5psOo04                | The Neuroscience of Unconscious Bias ｜ Sinan Canan
2    | 2018-02-07 |    2592 | https://youtu.be/jL2J5bBRBCQ                | Yalan Dünya Yarsız Olmaz ｜ Sinan Canan ｜ TEDx Yenişehir
3    | 2018-12-11 |     525 | https://youtu.be/x4-9DsgtltI                | SoruYorum - Suç ⧸ Suçlu ⧸ Değerlendirme
4    | 2018-12-18 |     633 | https://youtu.be/YEuymrmw6AA                | SoruYorum - Yaşam⧸Emeklilik⧸Ölüm
5    | 2018-12-19 |    2575 | https://youtu.be/fqbfMvtxXZI                | Öğrenci Olmak, Conan'ın Önemi, Aynalamak, Hayal Kurmak ⧸ Önce CAN Sonra CANAN - 1.Bölüm
6    | 2018-12-25 |     429 | https://youtu.be/jr1w5bSvyU0                | SoruYorum - Biyoloji Bilmek Neden Gereklidir ？
7    | 2019-01-04 |     752 | https://youtu.be/HWCXkpxjJgQ                | SoruYorum - Duygusal Zeka
8    | 2019-01-07 |     878 | https://youtu.be/xOnZW_cDTI0                | SoruYorum - Ortak Bilinç Dışı
9    | 2019-01-08 |     698 | https://youtu.be/ic4smE0xZec                | SoruYorum - NEDEN Karar Vermek Zorundayız ？
10   | 2019-01-09 |     485 | https://youtu.be/VNWnaCGGjaI                | SoruYorum - Amigdala ⧸ Oksitosin ⧸ Güven
11   | 2019-01-11 |    6677 | https://youtu.be/B_ztCKLa14Y                | Düşünce Yapısı, Kelimeler ve İletişim, Kitap Önerileri ⧸ Önce CAN Sonra CANAN - 5.Bölüm
12   | 2019-01-11 |     764 | https://youtu.be/vhQs5jjmasU                | SoruYorum - Narkoz ve Beyin
13   | 2019-01-15 |     757 | https://youtu.be/1ovunvYAGas                | SoruYorum - Dişi Beyinden Mühendis Olur Mu？
14   | 2019-01-17 |     860 | https://youtu.be/OtfHOVNNtfY                | SoruYorum - Hayat Amacı ⧸ Öz
15   | 2019-01-18 |     784 | https://youtu.be/tLhugizmHdQ                | SoruYorum - Yetersizlik Kaygısı ⧸ Sosyal Fobi
16   | 2019-01-18 |    3010 | https://youtu.be/fCm9BpgbQHc                | Yaratıcı Fikir, İlham, Teknoloji ve Adaptasyon ⧸ Önce CAN Sonra CANAN - 6.Bölüm
17   | 2019-01-21 |     726 | https://youtu.be/UHMiwALehKE                | SoruYorum - Bilinçaltımızın Biyolojik Yapımıza Etkileri
18   | 2019-01-22 |     665 | https://youtu.be/fZwmHwL97Pw                | SoruYorum - Özgürlüğün Biyolojisi
19   | 2019-01-23 |     512 | https://youtu.be/ezEMTmLmt8Y                | SoruYorum - ＂Şey＂lere ⧸ Kişilere Bağımlı Olmak
20   | 2019-01-25 |     534 | https://youtu.be/YicXyRO226M                | SoruYorum - Amigdala Kontrol Edilebilir Mi？
21   | 2019-02-05 |     979 | https://youtu.be/e88N_RWCbOU                | SoruYorum - Canlılarda Fazla Üretim Stratejisi
22   | 2019-02-06 |     509 | https://youtu.be/8YGq6OvPlys                | SoruYorum - Beyin ⧸ Yemek ⧸ Haz
23   | 2019-02-12 |     896 | https://youtu.be/7-2q6lLTXro                | SoruYorum - Organ Bağışı
24   | 2019-02-14 |     585 | https://youtu.be/bn-t1EpVF-U                | SoruYorum - Sevgililer Günü Özel
25   | 2019-02-15 |     832 | https://youtu.be/wdJxd90E5ik                | SoruYorum - Neden Unuturuz ⧸ Hatırlarız ？
26   | 2019-02-18 |     797 | https://youtu.be/u1olYIcLWr4                | SoruYorum - Sakarlığa Karşı Duygularımız
27   | 2019-02-27 |     577 | https://youtu.be/uZPvY5Iqq00                | SoruYorum - ASMR (Autonomous Sensory Meridian Response)
28   | 2019-02-28 |     471 | https://youtu.be/lDHSIUD6434                | SoruYorum - Esnemek Bulaşıcı Mı ？
29   | 2019-03-01 |     794 | https://youtu.be/r5NlaUWCu98                | SoruYorum - Kargalar Avlanmak İçin Nasıl Alet Kullanırlar ？
30   | 2019-03-04 |     557 | https://youtu.be/aSM5n16wb54                | SoruYorum - Yaşlı Beyin Huysuz Beyin Midir ？ Dejavu'nun Faydası Nedir ？
31   | 2019-03-06 |     523 | https://youtu.be/rnJhKpGHUmc                | SoruYorum - Kadınlar Bunalınca Neden Saçını Kestirir ？
32   | 2019-03-07 |     399 | https://youtu.be/9oTOtdUY6r8                | SoruYorum - Hayvanlar Güler Mi ？ ⧸ Depresyona Girerler mi ？
33   | 2019-03-08 |     518 | https://youtu.be/HmsKOxRpv54                | SoruYorum - Kadınlar Günü Özel
34   | 2019-03-11 |     530 | https://youtu.be/dOo-PyYqamc                | SoruYorum - En Çok Gelen Sorular - Bölüm 1： Yemek Yeme Alışkanlıkları
35   | 2019-03-14 |     640 | https://youtu.be/LrZbuNkYH5c                | SoruYorum - En Çok Gelen Sorular - Bölüm 4： Beynimizi Durdurmak
36   | 2019-03-18 |     515 | https://youtu.be/8RJscrfTM8o                | SoruYorum - Sanatçılık ⧸ Zeka ⧸ Sorun Çözme
37   | 2019-03-21 |    1365 | https://youtu.be/wTzPjliW3VQ                | SoruYorum - Kadın ve Erkek ⧸ Toplumsal Bakış ve İletişim ⧸ Önyargılar
38   | 2019-03-26 |    2023 | https://youtu.be/mHy-nUcUmnM                | Soruyorum - Beynin Değişimi ⧸ Davranışlar ⧸ Refleks
39   | 2019-03-28 |    1672 | https://youtu.be/ihcj-ga41xQ                | SoruYorum - Özlem Duygusu ⧸ Kendine Bakmak ve Görmek
40   | 2019-03-29 |    5503 | https://youtu.be/8vbObzJJwMs                | Öğrenme, Farketme, Öğrenmeyi Öğrenme, ＂Bilmiyorum＂ Diyebilme ⧸ Önce CAN Sonra CANAN - 16.Bölüm
41   | 2019-04-02 |    1267 | https://youtu.be/PuDDMbkr-YM                | SoruYorum - Yan Yatma Çamura Batma ⧸ Yaratıcı Düşünce ⧸ Zeka ⧸ Çocuk Aklı
42   | 2019-04-04 |     382 | https://youtu.be/Jyzk6BVZwwU                | Mindfulness Danışmanlığı - Azize Şahin
43   | 2019-04-04 |    1111 | https://youtu.be/HU9u7M34VQc                | SoruYorum - Beynin Düşünmemesi ⧸ Doğuştan Yüklü Yetenekler
44   | 2019-04-09 |    1526 | https://youtu.be/1ueab5MZemE                | SoruYorum - Empati Nasıl Çalışır ？ Cinsiyet ve Empati ？ Teknoloji ve Empati ？
45   | 2019-04-10 |     865 | https://youtu.be/S1S3y-Yl8WY                | KENDİMİ KEŞFEDİYORUM - Kitap Tanıtımı ⧸ Sinan Canan & Azize Şahin
46   | 2019-04-11 |    1524 | https://youtu.be/PJA-ELLXfrw                | SoruYorum - Bu İşi Neden Yapıyorum ？ ⧸ Beyin Zamanı Nasıl Algılar ？
47   | 2019-04-12 |    5557 | https://youtu.be/nqEwGEo53XY                | Üniversite Tercih Rehberi Özel ⧸ Önce CAN Sonra CANAN - 18.Bölüm
48   | 2019-04-19 |    4158 | https://youtu.be/nWb5d4Ugoj8                | Antidepresan, İlaç Firmaları, Depresyon, Mutluluk ⧸ Önce CAN Sonra CANAN - 19.Bölüm
49   | 2019-04-20 |    1510 | https://youtu.be/UsI6wH35oxw                | SoruYorum - Müzik Zevki ⧸ Evrim ⧸ Absolut Kulak ⧸ Sinan Canan ve Farklı Müzik Tarzları
50   | 2019-04-23 |    2146 | https://youtu.be/779cR5ro9iw                | SoruYorum - Kırkayak Nasıl Yürür？ ⧸ Kitap Mı, Sesli Kitap Mı？
51   | 2020-02-24 |    1358 | https://youtu.be/1CKN7RU_9GA                | Bir Psikolog Bir Gün Bara Gider; Ferhat Aydın nam-ı diğer Barpsikoloğu ｜ Kaçık Beyin ｜ 3.Bölüm
52   | 2020-03-01 |    4094 | https://youtu.be/5pzv0XqwPUM                | Corona Bize Neyi Anlatmaya Çalışıyor ？ ｜ Önce CAN Sonra CANAN ｜ Sezon 2 ｜ 24.Bölüm
53   | 2020-03-08 |    2770 | https://youtu.be/FRHDuFHXC5U                | Farkındalığın Farkının Farkına Varmak ｜ Önce CAN Sonra CANAN ｜ Sezon 2 ｜ 25.Bölüm
54   | 2020-03-10 |    3223 | https://youtu.be/rYzJQmQGq68                | Utku Gürtunca ile Çocukluktan Mizah Yazarlığına ｜ Kaçık Beyin ｜ 4.Bölüm (1.Kısım)
55   | 2020-03-12 |    2032 | https://youtu.be/rq5fI69uXIs                | Corona Virüs ve Paniği Üzerine ｜ Önce Can Sonra Canan (Kaçak Bölüm)
56   | 2020-03-15 |    3729 | https://youtu.be/hdRdaIZCPR0                | Yeni Bir Bakış Açısı ile Din Anlatmak ｜ Önce CAN Sonra CANAN ｜ Sezon 2 ｜ 26.Bölüm
57   | 2020-03-21 |    5579 | https://youtu.be/Hcn5A6wUFxU                | Korona Günlerinde 2 ｜ Duvarlar Örmek
58   | 2020-03-22 |    5695 | https://youtu.be/kw8m_Nng5jM                | Korona Günlerinde 1 ｜ Cehalet Bilimi
59   | 2020-03-22 |    5433 | https://youtu.be/EYxjgSt1fjU                | Ölümün Olmadığı Bir Dünyada Anlam Olur Muydu ？ ｜ Önce CAN Sonra CANAN ｜ Sezon 2 ｜ 27.Bölüm
60   | 2020-03-25 |    1466 | https://youtu.be/FaFQqf0cLv0                | Mizahın Sosyal Fonksiyonu ve Alper Atalan ｜ Kaçık Beyin ｜ 6.Bölüm
61   | 2020-03-27 |    7629 | https://youtu.be/C3Jcuu3zYuo                | Korona Günlerinde 3 ｜ Eğitim
62   | 2020-03-29 |    4913 | https://youtu.be/8wmNmDS_bD8                | Yeniden Başlasak Yine Böyle Mi Olurdu ？ ｜ Önce CAN Sonra CANAN ｜ Sezon 2 ｜ 28.Bölüm
63   | 2020-04-01 |    1420 | https://youtu.be/rMvxKamKXCg                | SoruYorum - ＂Bu＂ Günlerde Kitap Önerileri
64   | 2020-04-05 |    3502 | https://youtu.be/G86o2j4rZhI                | Yaptığım Şey Öyle Olmak Zorunda Değil ! ｜ Önce CAN Sonra CANAN ｜ Sezon 2 ｜ 29.Bölüm
65   | 2020-04-07 |    1784 | https://youtu.be/gl7k2ufJugQ                | SoruYorum - Bilim İnsanlarının Medya Halleri
66   | 2020-04-12 |    5973 | https://youtu.be/esc7pxd5boE                | Yaşamla Hesaplaşmanın Algoritması Var Mıdır ？ ｜ Önce CAN Sonra CANAN ｜ Sezon 2 ｜ 30.Bölüm
67   | 2020-04-16 |    2581 | https://youtu.be/QWLM5dJqkIE                | SoruYorum - Bu Dönemde ＂İnsanın Fabrika Ayarları＂ Neden Önemli ？
68   | 2020-04-19 |    4459 | https://youtu.be/vCfU50W84Ig                | Anılar Çoğaldıkça Geriye Dönüp Baktığında Ömür Uzar ｜ Önce CAN Sonra CANAN ｜ Sezon 2 ｜ 31.Bölüm
69   | 2020-04-21 |    8237 | https://youtu.be/I8xo58C4yNc                | Mizahın Karantinada Yeri Var Mıdır？ ｜ Kaçık Beyin ｜ 7.Bölüm
70   | 2020-04-22 |     820 | https://youtu.be/AByzjlddrjY                | Yer Demir Gök Bakır - Yaşar Kemal ｜ Bu Kitap Neden Okunur ？ ｜ 1.Bölüm
